"Длина линии на экране, L (мм)","Эффективное напряжение, $U_{eff}$ (В)","Чувствительность, S (мм/ В)"
10,5.54,0.6381830155113244
20,11.46,0.617021624072031
30,17.43,0.6085256292483197
40,22.6,0.6257582134394225
