"Длина линии на экране, L (мм)","Эффективное напряжение, $U_{eff}$ (В)","Чувствительность, S (мм/ В)"
10,5.0,0.7071067811865475
20,11.68,0.6053996414268387
30,18.73,0.5662894670474219
40,24.7,0.5725560981267591
