№ п/п,Вещество,"g, м/c"
1,Алюминий,9.669573453650141
2,Латунь,9.675594586589542
3,Сталь,9.659679352206423
4,Дерево,9.45978339181941
5,Плексиглас,9.418258008228523
6,Свинец,9.540266661923857
