"Результаты отдельных
наблюдений (f₁)"
2.545
2.531
2.575
2.549
2.556
2.562
2.558
2.552
2.543
2.550
2.541
2.560
2.548
2.543
2.556
2.547
2.527
2.529
2.527
2.527
2.546
2.544
2.546
2.543
2.548
2.543
2.556
2.567
2.551
2.559
2.564
2.561
2.549
2.558
2.551
2.561
2.540
2.551
2.564
2.565
2.575
2.573
2.558
2.560
2.564
2.568
2.576
2.569
2.573
2.563
